,team,drives,Year,catchshootattempt,passes,potentialasst,pullupfgattempt,distance,speed,touches,elbowtouches,postups,painttouches
168,New Orleans Pelicans,44.5,2019,24.7,309.7,47.8,20.3,18.23,4.25,439.0,13.2,14.0,27.1
169,New York Knicks,45.4,2019,23.4,293.4,39.3,25.9,18.22,4.25,418.3,9.6,9.0,19.0
170,Oklahoma City Thunder,46.3,2019,26.0,242.4,45.0,23.6,18.12,4.19,372.3,13.7,10.3,27.8
171,Orlando Magic,41.5,2019,29.2,283.6,49.1,21.5,18.22,4.26,405.5,14.3,13.4,24.7
172,Philadelphia 76ers,37.4,2019,26.3,316.8,49.7,21.8,18.63,4.33,443.0,16.7,15.7,25.3
173,Phoenix Suns,41.8,2019,23.8,306.3,44.7,23.6,18.10,4.18,429.6,13.0,8.2,23.4
174,Portland Trail Blazers,36.9,2019,21.7,281.7,42.1,27.4,18.10,4.19,407.0,11.5,11.7,23.7
175,Sacramento Kings,38.9,2019,23.2,292.0,44.6,26.1,18.75,4.37,420.0,16.2,13.3,27.2
176,San Antonio Spurs,42.1,2019,24.5,280.8,40.7,29.8,18.37,4.32,400.2,11.2,19.1,20.9
177,Toronto Raptors,48.1,2019,29.9,298.6,46.1,19.7,18.38,4.25,422.2,12.0,11.3,21.4
178,Utah Jazz,55.1,2019,25.9,310.7,49.0,19.1,18.31,4.27,434.5,12.0,2.5,26.6
179,Washington Wizards,45.9,2019,27.3,293.1,48.1,21.4,18.03,4.16,418.1,10.5,7.0,21.2
180,Atlanta Hawks,49.4,2020,25.1,271.2,45.7,23.8,18.38,4.23,398.7,8.9,3.7,23.5
181,Boston Celtics,45.6,2020,21.7,283.0,40.4,28.0,17.79,4.13,406.0,9.6,6.3,22.5
182,Brooklyn Nets,53.7,2020,25.4,277.0,45.4,23.1,17.75,4.14,402.2,10.2,1.6,22.1
183,Charlotte Hornets,46.5,2020,22.8,307.6,44.7,20.9,18.14,4.23,427.8,10.2,8.9,23.8
184,Chicago Bulls,52.1,2020,26.4,285.1,45.7,19.0,18.51,4.32,408.3,10.2,4.6,21.8
185,Cleveland Cavaliers,48.0,2020,23.6,289.2,43.6,21.8,17.76,4.14,412.9,11.8,11.3,27.9
186,Dallas Mavericks,49.9,2020,29.3,289.6,46.3,23.5,17.78,4.14,413.4,7.5,5.4,19.9
187,Denver Nuggets,38.7,2020,25.1,305.5,45.5,23.5,17.77,4.14,427.3,15.6,13.8,24.7
188,Detroit Pistons,49.6,2020,25.9,288.1,45.6,17.0,17.79,4.15,409.6,11.2,7.6,23.1
189,Golden State Warriors,40.3,2020,25.5,333.3,47.4,25.1,18.42,4.29,456.5,12.6,11.5,21.3
190,Houston Rockets,48.9,2020,27.8,243.9,43.9,24.0,17.05,3.99,369.0,7.4,2.2,17.6
191,Indiana Pacers,46.8,2020,25.1,295.6,46.8,24.1,18.14,4.24,416.0,13.9,8.4,19.8
192,LA Clippers,41.5,2020,25.4,271.0,42.6,25.7,17.94,4.16,396.7,9.3,10.4,21.1
193,Los Angeles Lakers,36.6,2020,25.1,283.9,46.4,21.9,17.34,4.09,407.4,11.5,14.3,26.5
194,Memphis Grizzlies,48.6,2020,25.9,305.4,47.8,21.4,18.12,4.23,431.0,11.6,8.2,25.2
195,Miami Heat,43.7,2020,27.9,292.4,49.8,20.9,18.07,4.16,413.5,15.1,8.1,22.8
196,Milwaukee Bucks,38.9,2020,27.8,280.2,48.5,23.5,18.21,4.26,406.9,12.1,10.7,20.7
197,Minnesota Timberwolves,50.7,2020,29.2,306.1,47.7,19.1,17.84,4.14,433.3,8.5,7.4,19.8
198,New Orleans Pelicans,46.4,2020,28.0,317.7,50.0,21.9,18.63,4.33,446.2,10.8,6.5,22.4
199,New York Knicks,44.9,2020,24.6,297.4,42.9,22.7,17.78,4.15,422.6,10.8,11.4,23.4
200,Oklahoma City Thunder,53.8,2020,23.1,286.8,38.9,25.4,17.58,4.07,407.5,10.8,7.1,20.6
201,Orlando Magic,42.4,2020,28.2,271.5,47.9,23.3,18.06,4.23,392.7,13.6,11.4,24.8
202,Philadelphia 76ers,40.2,2020,28.9,299.7,47.2,19.5,17.72,4.14,421.8,16.4,17.0,22.4
203,Phoenix Suns,44.7,2020,29.1,292.4,52.5,20.3,18.26,4.26,416.1,15.6,8.6,26.4
204,Portland Trail Blazers,36.7,2020,21.5,243.4,38.3,31.9,17.59,4.11,366.9,9.5,9.1,19.4
205,Sacramento Kings,45.2,2020,26.4,283.7,44.9,23.2,18.35,4.23,405.9,10.8,9.8,21.3
206,San Antonio Spurs,51.4,2020,26.4,280.1,43.3,28.1,18.50,4.30,401.0,9.0,11.8,16.5
207,Toronto Raptors,44.0,2020,28.1,292.3,47.3,17.8,17.74,4.10,415.9,12.0,8.3,21.6
208,Utah Jazz,57.4,2020,22.3,296.3,40.6,25.2,17.83,4.16,417.2,8.4,2.4,19.4
209,Washington Wizards,46.5,2020,26.6,307.8,46.9,26.0,18.27,4.27,433.0,10.0,3.3,21.0
210,Atlanta Hawks,46.4,2021,25.1,274.1,45.5,22.9,17.76,4.14,396.3,9.2,7.7,25.2
211,Boston Celtics,45.9,2021,23.5,284.7,41.4,27.6,17.75,4.13,406.8,9.8,6.7,22.9
212,Brooklyn Nets,41.6,2021,26.0,277.3,47.6,24.3,17.45,4.08,397.8,11.9,5.2,21.1
213,Charlotte Hornets,51.3,2021,27.4,304.8,49.3,22.1,18.43,4.31,426.6,10.9,4.8,23.9
214,Chicago Bulls,40.8,2021,28.9,291.0,48.6,20.3,18.28,4.27,412.8,14.3,11.3,22.7
215,Cleveland Cavaliers,48.3,2021,23.6,303.1,45.1,18.8,17.84,4.16,424.3,14.7,8.6,27.5
216,Dallas Mavericks,47.2,2021,27.8,274.9,43.2,26.7,17.51,4.15,392.1,6.9,5.9,19.8
217,Denver Nuggets,34.2,2021,27.9,295.3,48.3,21.1,17.71,4.14,416.4,17.2,13.0,25.8
218,Detroit Pistons,52.5,2021,26.7,287.2,45.7,17.7,18.07,4.24,407.5,9.9,8.2,22.1
219,Golden State Warriors,40.8,2021,28.9,307.5,49.6,22.2,18.01,4.26,428.9,7.7,8.9,18.0
220,Houston Rockets,46.3,2021,29.6,277.1,46.7,18.3,17.32,4.11,398.1,7.7,5.3,19.3
221,Indiana Pacers,54.7,2021,26.1,307.6,48.0,21.2,18.84,4.36,431.3,11.3,7.8,22.1
222,LA Clippers,41.9,2021,27.8,281.0,43.1,25.7,17.31,4.09,398.9,12.6,11.0,21.0
223,Los Angeles Lakers,40.4,2021,26.1,303.4,46.0,19.6,17.54,4.06,424.8,12.2,15.2,22.2
224,Memphis Grizzlies,52.1,2021,26.0,279.1,46.7,22.3,18.09,4.26,401.1,12.2,6.5,25.1
225,Miami Heat,42.6,2021,29.2,285.2,51.4,20.4,18.16,4.24,403.2,11.6,9.5,22.8
226,Milwaukee Bucks,40.6,2021,26.8,254.8,46.7,26.8,18.10,4.23,380.1,9.7,9.8,23.7
